ticker,name,market,currency,sector,sub_industry,headquarters,index_membership,snapshot_date
1COV,Covestro,EU,EUR,Chemicals,,Germany,STOXX600,2026-05-22
8TRA,Traton,EU,EUR,Industrial Goods and Services,,Germany,STOXX600,2026-05-22
A,Agilent Technologies,US,USD,Health Care,Life Sciences Tools & Services,"Santa Clara, California",SP500,2026-05-22
AAL,Anglo American plc,EU,EUR,Basic Resources,,United Kingdom,STOXX600,2026-05-22
AAPL,Apple Inc.,US,USD,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",SP500,2026-05-22
ABBN,ABB Ltd,EU,EUR,Industrial Goods and Services,,Switzerland,STOXX600,2026-05-22
ABBV,AbbVie,US,USD,Health Care,Biotechnology,"North Chicago, Illinois",SP500,2026-05-22
ABF,Associated British Foods,EU,EUR,"Food, Beverage and Tobacco",,United Kingdom,STOXX600,2026-05-22
ABI,Anheuser-Busch InBev,EU,EUR,"Food, Beverage and Tobacco",,Belgium,STOXX600,2026-05-22
ABN,ABN AMRO,EU,EUR,Banks,,Netherlands,STOXX600,2026-05-22
ABNB,Airbnb,US,USD,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",SP500,2026-05-22
ABT,Abbott Laboratories,US,USD,Health Care,Health Care Equipment,"North Chicago, Illinois",SP500,2026-05-22
AC,Accor,EU,EUR,Travel and Leisure,,France,STOXX600,2026-05-22
ACGL,Arch Capital Group,US,USD,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",SP500,2026-05-22
ACN,Accenture,US,USD,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",SP500,2026-05-22
ACS,ACS Group,EU,EUR,Construction and Materials,,Spain,STOXX600,2026-05-22
ACX,Acerinox,EU,EUR,Basic Resources,,Spain,STOXX600,2026-05-22
ADBE,Adobe Inc.,US,USD,Information Technology,Application Software,"San Jose, California",SP500,2026-05-22
ADEN,Adecco,EU,EUR,Industrial Goods and Services,,Switzerland,STOXX600,2026-05-22
ADH,Adevinta,EU,EUR,Consumer Products and Services,,Norway,STOXX600,2026-05-22
ADI,Analog Devices,US,USD,Information Technology,Semiconductors,"Wilmington, Massachusetts",SP500,2026-05-22
ADM,Archer Daniels Midland,US,USD,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",SP500,2026-05-22
ADP,Automatic Data Processing,US,USD,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",SP500,2026-05-22
ADS,Adidas,EU,EUR,Consumer Products and Services,,Germany,STOXX600,2026-05-22
ADSK,Autodesk,US,USD,Information Technology,Application Software,"San Francisco, California",SP500,2026-05-22
ADYEN,Adyen,EU,EUR,Industrial Goods and Services,,Netherlands,STOXX600,2026-05-22
AEE,Ameren,US,USD,Utilities,Multi-Utilities,"St. Louis, Missouri",SP500,2026-05-22
AENA,Aena,EU,EUR,Travel and Leisure,,Spain,STOXX600,2026-05-22
AEP,American Electric Power,US,USD,Utilities,Electric Utilities,"Columbus, Ohio",SP500,2026-05-22
AES,AES Corporation,US,USD,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",SP500,2026-05-22
AF,Air France-KLM,EU,EUR,Travel and Leisure,,France,STOXX600,2026-05-22
AFL,Aflac,US,USD,Financials,Life & Health Insurance,"Columbus, Georgia",SP500,2026-05-22
AFX,Carl Zeiss Meditec,EU,EUR,Health Care,,Germany,STOXX600,2026-05-22
AGS,Ageas,EU,EUR,Insurance,,Belgium,STOXX600,2026-05-22
AHT,Ashtead Group,EU,EUR,Industrial Goods and Services,,United Kingdom,STOXX600,2026-05-22
AIG,American International Group,US,USD,Financials,Multi-line Insurance,"New York City, New York",SP500,2026-05-22
AIR,Airbus,EU,EUR,Industrial Goods and Services,,France,STOXX600,2026-05-22
AIRP,Air Liquide,EU,EUR,Chemicals,,France,STOXX600,2026-05-22
AIXA,AIXTRON,EU,EUR,Technology,,Germany,STOXX600,2026-05-22
AIZ,Assurant,US,USD,Financials,Multi-line Insurance,"Atlanta, Georgia",SP500,2026-05-22
AJG,Arthur J. Gallagher & Co.,US,USD,Financials,Insurance Brokers,"Rolling Meadows, Illinois",SP500,2026-05-22
AKAM,Akamai Technologies,US,USD,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",SP500,2026-05-22
AKE,Arkema,EU,EUR,Chemicals,,France,STOXX600,2026-05-22
AKERBP,Aker BP,EU,EUR,Energy,,Norway,STOXX600,2026-05-22
AKZA,AkzoNobel,EU,EUR,Chemicals,,Netherlands,STOXX600,2026-05-22
ALB,Albemarle Corporation,US,USD,Materials,Specialty Chemicals,"Charlotte, North Carolina",SP500,2026-05-22
ALC,Alcon,EU,EUR,Health Care,,Switzerland,STOXX600,2026-05-22
ALFA,Alfa Laval,EU,EUR,Industrial Goods and Services,,Sweden,STOXX600,2026-05-22
ALGN,Align Technology,US,USD,Health Care,Health Care Supplies,"Tempe, Arizona",SP500,2026-05-22
ALL,Allstate,US,USD,Financials,Property & Casualty Insurance,"Northbrook, Illinois",SP500,2026-05-22
ALLE,Allegion,US,USD,Industrials,Building Products,"Dublin, Ireland",SP500,2026-05-22
ALLFG,Allfunds Group,EU,EUR,Financial Services,,Spain,STOXX600,2026-05-22
ALO,Alstom,EU,EUR,Industrial Goods and Services,,France,STOXX600,2026-05-22
ALV,Allianz,EU,EUR,Insurance,,Germany,STOXX600,2026-05-22
AMAT,Applied Materials,US,USD,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",SP500,2026-05-22
