ticker,name,market,currency,sector,sub_industry,headquarters,index_membership,snapshot_date,ticker_yahoo,currency_fixed
1COV,Covestro,EU,EUR,Chemicals,,Germany,STOXX600,2026-05-22,1COV.DE,EUR
8TRA,Traton,EU,EUR,Industrial Goods and Services,,Germany,STOXX600,2026-05-22,8TRA.DE,EUR
A,Agilent Technologies,US,USD,Health Care,Life Sciences Tools & Services,"Santa Clara, California",SP500,2026-05-22,A,USD
AAL,Anglo American plc,EU,EUR,Basic Resources,,United Kingdom,STOXX600,2026-05-22,AAL.L,GBP
AAPL,Apple Inc.,US,USD,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",SP500,2026-05-22,AAPL,USD
ABBN,ABB Ltd,EU,EUR,Industrial Goods and Services,,Switzerland,STOXX600,2026-05-22,ABBN.SW,CHF
ABBV,AbbVie,US,USD,Health Care,Biotechnology,"North Chicago, Illinois",SP500,2026-05-22,ABBV,USD
ABF,Associated British Foods,EU,EUR,"Food, Beverage and Tobacco",,United Kingdom,STOXX600,2026-05-22,ABF.L,GBP
ABI,Anheuser-Busch InBev,EU,EUR,"Food, Beverage and Tobacco",,Belgium,STOXX600,2026-05-22,ABI.BR,EUR
ABN,ABN AMRO,EU,EUR,Banks,,Netherlands,STOXX600,2026-05-22,ABN.AS,EUR
ABNB,Airbnb,US,USD,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",SP500,2026-05-22,ABNB,USD
ABT,Abbott Laboratories,US,USD,Health Care,Health Care Equipment,"North Chicago, Illinois",SP500,2026-05-22,ABT,USD
AC,Accor,EU,EUR,Travel and Leisure,,France,STOXX600,2026-05-22,AC.PA,EUR
ACGL,Arch Capital Group,US,USD,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",SP500,2026-05-22,ACGL,USD
ACN,Accenture,US,USD,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",SP500,2026-05-22,ACN,USD
ACS,ACS Group,EU,EUR,Construction and Materials,,Spain,STOXX600,2026-05-22,ACS.MC,EUR
ACX,Acerinox,EU,EUR,Basic Resources,,Spain,STOXX600,2026-05-22,ACX.MC,EUR
ADBE,Adobe Inc.,US,USD,Information Technology,Application Software,"San Jose, California",SP500,2026-05-22,ADBE,USD
