ticker,name,market,currency,sector,sub_industry,headquarters,index_membership,snapshot_date
ACE.MI,Acea S.p.A.,EU,EUR,Utilities,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
ANIM.MI,Anima Holding,EU,EUR,Financial Services,Asset Management,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
ASC.MI,Ascopiave,EU,EUR,Utilities,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
AVIO.MI,Avio S.p.A.,EU,EUR,Industrial Goods and Services,Aerospace & Defense,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
BFF.MI,BFF Bank,EU,EUR,Banks,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
IF.MI,Banca IFIS,EU,EUR,Banks,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
BMPS.MI,Banca Monte dei Paschi di Siena,EU,EUR,Banks,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
BPSO.MI,Banca Popolare di Sondrio,EU,EUR,Banks,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
BIES.MI,Biesse,EU,EUR,Industrial Goods and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
BRE.MI,Brembo,EU,EUR,Automobiles and Parts,Auto Parts,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
BZU.MI,Buzzi Unicem,EU,EUR,Construction and Materials,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
CRL.MI,Carel Industries,EU,EUR,Industrial Goods and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
CEM.MI,Cementir Holding,EU,EUR,Construction and Materials,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
CE.MI,Credito Emiliano,EU,EUR,Banks,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
DAL.MI,Danieli & C.,EU,EUR,Industrial Goods and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
DLG.MI,De Longhi,EU,EUR,Personal Care Drug and Grocery Stores,Household Appliances,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
DEA.MI,DeA Capital,EU,EUR,Financial Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
ELN.MI,El.En.,EU,EUR,Industrial Goods and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
ENAV.MI,ENAV,EU,EUR,Industrial Goods and Services,Air Services,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
ERG.MI,ERG,EU,EUR,Utilities,Renewables,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
EGLA.MI,Eurogroup Laminations,EU,EUR,Industrial Goods and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
FCT.MI,Fincantieri,EU,EUR,Industrial Goods and Services,Shipbuilding,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
GHC.MI,Garofalo Health Care,EU,EUR,Health Care,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
GVS.MI,GVS,EU,EUR,Industrial Goods and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
IGD.MI,IGD SIIQ,EU,EUR,Real Estate,REITs,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
ILTY.MI,Illimity Bank,EU,EUR,Banks,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
IMA.MI,IMA S.p.A.,EU,EUR,Industrial Goods and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
DNR.MI,Industrie De Nora,EU,EUR,Chemicals,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
IRE.MI,Iren,EU,EUR,Utilities,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
ITM.MI,Italmobiliare,EU,EUR,Construction and Materials,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
JUVE.MI,Juventus Football Club,EU,EUR,Travel and Leisure,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
LUVE.MI,LU-VE,EU,EUR,Industrial Goods and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
MAIRE.MI,Maire Tecnimont,EU,EUR,Energy,Oil & Gas Engineering,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
MARR.MI,MARR,EU,EUR,Food Beverage and Tobacco,Food Distribution,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
MS.MI,Mediaset (MFE A),EU,EUR,Media,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
MOL.MI,Moltiply Group,EU,EUR,Financial Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
PIA.MI,Piaggio & C.,EU,EUR,Automobiles and Parts,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
RWAY.MI,Rai Way,EU,EUR,Media,Broadcast Infrastructure,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
REY.MI,Reply,EU,EUR,Technology,IT Services,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
SFER.MI,Salvatore Ferragamo,EU,EUR,Consumer Products and Services,Luxury,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
SL.MI,Sanlorenzo,EU,EUR,Industrial Goods and Services,Shipbuilding,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
SES.MI,Sesa,EU,EUR,Technology,IT Services,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
SOL.MI,SOL Group,EU,EUR,Chemicals,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
TIP.MI,Tamburi Investment Partners,EU,EUR,Financial Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
TGYM.MI,Technogym,EU,EUR,Consumer Products and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
TNXT.MI,Tinexta,EU,EUR,Financial Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
TOD.MI,Tod's,EU,EUR,Consumer Products and Services,Luxury,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
WBD.MI,Webuild,EU,EUR,Construction and Materials,Infrastructure,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
ZV.MI,Zignago Vetro,EU,EUR,Industrial Goods and Services,,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
ENAV.MI,ENAV,EU,EUR,Industrial Goods and Services,Air Services,Italy,FTSE_ITALIA_MID_CAP,2026-05-22
A2A.MI,A2A,EU,EUR,Utilities,Multi-Utility,Italy,FTSE_MIB,2026-05-22
AMP.MI,Amplifon,EU,EUR,Health Care,,Italy,FTSE_MIB,2026-05-22
ATL.MI,Atlantia/Mundys,EU,EUR,Industrial Transportation,Toll Highways,Italy,FTSE_MIB,2026-05-22
AZM.MI,Azimut Holding,EU,EUR,Financial Services,Asset Management,Italy,FTSE_MIB,2026-05-22
BAMI.MI,Banco BPM,EU,EUR,Banks,,Italy,FTSE_MIB,2026-05-22
BPE.MI,BPER Banca,EU,EUR,Banks,,Italy,FTSE_MIB,2026-05-22
CNHI.MI,CNH Industrial,EU,EUR,Industrial Goods and Services,Construction & Farm Machinery,Italy,FTSE_MIB,2026-05-22
DIA.MI,Diasorin,EU,EUR,Health Care,Diagnostics,Italy,FTSE_MIB,2026-05-22
G.MI,Generali,EU,EUR,Insurance,,Italy,FTSE_MIB,2026-05-22
HER.MI,Hera,EU,EUR,Utilities,Multi-Utility,Italy,FTSE_MIB,2026-05-22
IG.MI,Italgas,EU,EUR,Utilities,Gas Distribution,Italy,FTSE_MIB,2026-05-22
MONC.MI,Moncler,EU,EUR,Consumer Products and Services,Luxury,Italy,FTSE_MIB,2026-05-22
NEXI.MI,Nexi,EU,EUR,Financial Services,Payments,Italy,FTSE_MIB,2026-05-22
PIRC.MI,Pirelli & C.,EU,EUR,Automobiles and Parts,Tires,Italy,FTSE_MIB,2026-05-22
PST.MI,Poste Italiane,EU,EUR,Financial Services,,Italy,FTSE_MIB,2026-05-22
PRY.MI,Prysmian,EU,EUR,Industrial Goods and Services,Cables,Italy,FTSE_MIB,2026-05-22
REC.MI,Recordati,EU,EUR,Health Care,Pharma,Italy,FTSE_MIB,2026-05-22
SPM.MI,Saipem,EU,EUR,Energy,Oil & Gas Services,Italy,FTSE_MIB,2026-05-22
SRG.MI,Snam,EU,EUR,Utilities,Gas Networks,Italy,FTSE_MIB,2026-05-22
STLAM.MI,Stellantis,EU,EUR,Automobiles and Parts,,Italy,FTSE_MIB,2026-05-22
STM.MI,STMicroelectronics,EU,EUR,Technology,Semiconductors,Italy,FTSE_MIB,2026-05-22
TEN.MI,Tenaris,EU,EUR,Energy,Oil & Gas Equipment,Italy,FTSE_MIB,2026-05-22
TIT.MI,Telecom Italia (TIM),EU,EUR,Telecommunications,,Italy,FTSE_MIB,2026-05-22
TRN.MI,Terna,EU,EUR,Utilities,Power Networks,Italy,FTSE_MIB,2026-05-22
UCG.MI,Unicredit,EU,EUR,Banks,,Italy,FTSE_MIB,2026-05-22
UNI.MI,Unipol,EU,EUR,Insurance,,Italy,FTSE_MIB,2026-05-22
