fold_id,oos_start,oos_end,ticker,dt_open,dt_close,bars_held,size,entry_price,notional_open,pnl_gross,pnl_net,pnl_pct,commission,status
1,2025-08-01,2025-11-01,AENA.MC,,,0,214.0,23.93000030517578,5121.02,-81.32,-81.32,-1.588,0.0,open_at_end
1,2025-08-01,2025-11-01,AMZN,,,0,21.0,217.2100067138672,4561.41,567.21,567.21,12.435,0.0,open_at_end
1,2025-08-01,2025-11-01,BBVA.MC,,,0,342.0,14.585000038146973,4988.07,974.7,974.7,19.541,0.0,open_at_end
1,2025-08-01,2025-11-01,BKNG,,,0,22.0,227.14039611816406,4997.09,-528.68,-528.68,-10.58,0.0,open_at_end
1,2025-08-01,2025-11-01,BMPS.MI,,,0,626.0,8.100000381469727,5070.6,-323.02,-323.02,-6.37,0.0,open_at_end
1,2025-08-01,2025-11-01,ENEL.MI,,,0,649.0,7.696000099182129,4994.7,698.32,698.32,13.981,0.0,open_at_end
1,2025-08-01,2025-11-01,IBE.MC,,,0,298.0,17.020000457763672,5071.96,162.41,162.41,3.202,0.0,open_at_end
1,2025-08-01,2025-11-01,JMT.LS,,,0,234.0,21.34000015258789,4993.56,234.0,234.0,4.686,0.0,open_at_end
1,2025-08-01,2025-11-01,LHA.DE,,,0,681.0,7.3979997634887695,5038.04,133.48,133.48,2.649,0.0,open_at_end
1,2025-08-01,2025-11-01,META,,,0,7.0,715.2000122070312,5006.4,-467.95,-467.95,-9.347,0.0,open_at_end
1,2025-08-01,2025-11-01,MSFT,,,0,9.0,514.0800170898438,4626.72,33.57,33.57,0.726,0.0,open_at_end
1,2025-08-01,2025-11-01,MU,,,0,30.0,162.75,4882.5,1830.6,1830.6,37.493,0.0,open_at_end
1,2025-08-01,2025-11-01,REP.MC,,,0,371.0,13.5,5008.5,881.12,881.12,17.593,0.0,open_at_end
2,2025-11-01,2026-02-01,AENA.MC,,,0,209.0,23.93000030517578,5001.37,480.7,480.7,9.611,0.0,open_at_end
2,2025-11-01,2026-02-01,BMPS.MI,,,0,588.0,8.699000358581543,5115.01,20.58,20.58,0.402,0.0,open_at_end
2,2025-11-01,2026-02-01,GMAB.CO,,,0,2.0,1839.0,3678.0,366.0,366.0,9.951,0.0,open_at_end
2,2025-11-01,2026-02-01,IBE.MC,,,0,293.0,17.020000457763672,4986.86,558.16,558.16,11.193,0.0,open_at_end
2,2025-11-01,2026-02-01,JMT.LS,,,0,247.0,20.200000762939453,4989.4,-71.63,-71.63,-1.436,0.0,open_at_end
2,2025-11-01,2026-02-01,LHA.DE,,,0,727.0,6.857999801635742,4985.77,1339.13,1339.13,26.859,0.0,open_at_end
2,2025-11-01,2026-02-01,MSFT,,,0,9.0,528.8800048828125,4759.92,-887.31,-887.31,-18.641,0.0,open_at_end
2,2025-11-01,2026-02-01,PPC.AT,,,0,302.0,16.75,5058.5,969.42,969.42,19.164,0.0,open_at_end
2,2025-11-01,2026-02-01,REP.MC,,,0,316.0,15.930000305175781,5033.88,197.5,197.5,3.923,0.0,open_at_end
3,2026-02-01,2026-05-01,AENA.MC,,,0,186.0,26.829999923706055,4990.38,-667.74,-667.74,-13.381,0.0,open_at_end
3,2026-02-01,2026-05-01,BBVA.MC,,,0,273.0,18.690000534057617,5102.37,32.76,32.76,0.642,0.0,open_at_end
3,2026-02-01,2026-05-01,BMPS.MI,,,0,587.0,8.550000190734863,5018.85,294.67,294.67,5.871,0.0,open_at_end
3,2026-02-01,2026-05-01,BNP.PA,,,0,54.0,93.30000305175781,5038.2,-219.78,-219.78,-4.362,0.0,open_at_end
3,2026-02-01,2026-05-01,IBE.MC,,,0,253.0,19.774999618530273,5003.07,44.28,44.28,0.885,0.0,open_at_end
3,2026-02-01,2026-05-01,LLY,,,0,4.0,1037.5699462890625,4150.28,-296.96,-296.96,-7.155,0.0,open_at_end
3,2026-02-01,2026-05-01,MU,,,0,12.0,401.2799987792969,4815.36,1691.16,1691.16,35.12,0.0,open_at_end
3,2026-02-01,2026-05-01,NVDA,,,0,28.0,175.00999450683594,4900.28,656.32,656.32,13.394,0.0,open_at_end
3,2026-02-01,2026-05-01,REP.MC,,,0,275.0,18.274999618530273,5025.62,1238.88,1238.88,24.651,0.0,open_at_end
