date,daily_return
2025-11-03,0.0102255256
2025-11-04,-0.0051297417
2025-11-05,0.0115345957
2025-11-06,-0.0101764667
2025-11-07,-0.0156761286
2025-11-10,0.0231374165
2025-11-11,-0.0047352951
2025-11-12,0.0149882546
2025-11-13,-0.0011059647
2025-11-14,-0.0010395801
2025-11-17,-0.0024983019
2025-11-18,-0.0265906598
2025-11-19,0.0045508138
2025-11-20,-0.0062081171
2025-11-21,-0.0044679436
2025-11-24,0.019520867
2025-11-25,0.0020824953
2025-11-26,0.0196459037
2025-11-27,-0.0024105843
2025-11-28,0.0035005333
2025-12-01,0.0031940166
2025-12-02,0.0044314494
2025-12-03,-0.0123104287
2025-12-04,0.002446494
2025-12-05,0.0043957294
2025-12-08,0.0096055834
2025-12-09,-0.0034950949
2025-12-10,0.0036161877
2025-12-11,-0.0010990903
2025-12-12,-0.0105947665
2025-12-15,0.0061176986
2025-12-16,-0.008767394
2025-12-17,-0.0064028856
2025-12-18,0.0161633536
2025-12-19,0.0169082982
2025-12-22,0.006062013
2025-12-23,0.0006992544
2025-12-24,0.0051249004
2025-12-25,0.0
2025-12-26,-0.0009164967
2025-12-29,0.0032172091
2025-12-30,0.001741665
2025-12-31,-0.0051889151
2026-01-01,0.0
2026-01-02,0.0289251536
2026-01-05,0.0043724933
2026-01-06,0.0197767877
2026-01-07,0.0029252838
2026-01-08,-0.0007330503
2026-01-09,0.0074668001
2026-01-12,-0.0010264901
2026-01-13,-0.0022364831
2026-01-14,0.0093921572
2026-01-15,0.0071928516
2026-01-16,0.0199634967
2026-01-19,-0.0071239047
2026-01-20,-0.0126507277
2026-01-21,0.0137595311
2026-01-22,0.0177226454
2026-01-23,-0.0017815618
2026-01-26,0.0008976825
2026-01-27,0.0284323986
2026-01-28,0.0029572709
2026-01-29,-0.0038503103
2026-01-30,-0.0085506528
