index,f2_sealed
0,0.0
1,-0.0002257571
2,-0.0025417782
3,-0.0100858121
4,-0.003524187
5,0.0080522787
6,0.0113214688
7,0.0048419352
8,0.0008575473
9,-0.0030451844
10,-0.0032586763
11,-0.0194762682
12,0.0056836551
13,-0.0019967019
14,-0.0013751695
15,0.0027323046
16,0.0098436277
17,0.0077142449
18,-0.0076646831
19,-1.66802e-05
20,-0.0007847674
21,-0.0017143658
22,-0.0035170293
23,-0.0031658621
24,-0.0014868514
25,0.0075673412
26,-0.0014171691
27,-0.0062342366
28,0.0036473667
29,0.0023107786
30,0.0023768117
31,-0.0021543972
32,0.0033340275
33,0.0030803621
34,0.013003257
35,0.0078817787
36,0.0017389171
37,0.0048009924
38,0.0
39,-0.0008141247
40,0.0024524863
41,0.001352453
42,-0.0041800891
43,0.0
44,0.0185119652
45,0.0064141076
46,0.0248277524
47,0.0008400014
48,-0.0026896576
49,0.0094232788
50,-0.0033295885
51,-0.0104209617
52,-0.0061072623
53,-0.0024687179
54,0.0090550692
55,-0.0055001444
56,-0.0077510397
57,0.0179609321
58,0.0174082702
59,-0.0016752304
60,-0.0025034132
61,0.0154393712
62,0.0044843198
63,-0.0052708426
64,-0.0077315536
