trial_id,fold_id,phase,n_bars_saved,n_nonzero_saved,n_rows_dumped,n_nonzero_dumped,nonzero_extra_warmup,warmup_n_bars,pct_warmup_zero
1,1,IS,523,272,262,260,12,261,0.9540229885057472
1,1,OOS,327,78,66,66,12,261,0.9540229885057472
1,2,IS,522,270,261,258,12,261,0.9540229885057472
1,2,OOS,326,75,65,63,12,261,0.9540229885057472
1,3,IS,521,269,260,257,12,261,0.9540229885057472
1,3,OOS,325,75,65,64,11,260,0.9576923076923077
2,1,IS,523,272,262,260,12,261,0.9540229885057472
2,1,OOS,327,78,66,66,12,261,0.9540229885057472
2,2,IS,522,270,261,258,12,261,0.9540229885057472
2,2,OOS,326,75,65,63,12,261,0.9540229885057472
2,3,IS,521,269,260,257,12,261,0.9540229885057472
2,3,OOS,325,75,65,64,11,260,0.9576923076923077
3,1,IS,523,272,262,260,12,261,0.9540229885057472
3,1,OOS,327,78,66,66,12,261,0.9540229885057472
3,2,IS,522,270,261,258,12,261,0.9540229885057472
3,2,OOS,326,75,65,63,12,261,0.9540229885057472
3,3,IS,521,269,260,257,12,261,0.9540229885057472
3,3,OOS,325,75,65,64,11,260,0.9576923076923077
4,1,IS,523,272,262,260,12,261,0.9540229885057472
4,1,OOS,327,78,66,66,12,261,0.9540229885057472
4,2,IS,522,270,261,258,12,261,0.9540229885057472
4,2,OOS,326,75,65,63,12,261,0.9540229885057472
4,3,IS,521,269,260,257,12,261,0.9540229885057472
4,3,OOS,325,75,65,64,11,260,0.9576923076923077
5,1,IS,523,272,262,260,12,261,0.9540229885057472
5,1,OOS,327,78,66,66,12,261,0.9540229885057472
5,2,IS,522,270,261,258,12,261,0.9540229885057472
5,2,OOS,326,75,65,63,12,261,0.9540229885057472
5,3,IS,521,269,260,257,12,261,0.9540229885057472
5,3,OOS,325,75,65,64,11,260,0.9576923076923077
6,1,IS,523,272,262,260,12,261,0.9540229885057472
6,1,OOS,327,78,66,66,12,261,0.9540229885057472
6,2,IS,522,270,261,258,12,261,0.9540229885057472
6,2,OOS,326,75,65,63,12,261,0.9540229885057472
6,3,IS,521,269,260,257,12,261,0.9540229885057472
6,3,OOS,325,75,65,64,11,260,0.9576923076923077
7,1,IS,523,272,262,260,12,261,0.9540229885057472
7,1,OOS,327,78,66,66,12,261,0.9540229885057472
7,2,IS,522,270,261,258,12,261,0.9540229885057472
7,2,OOS,326,75,65,63,12,261,0.9540229885057472
7,3,IS,521,269,260,257,12,261,0.9540229885057472
7,3,OOS,325,75,65,64,11,260,0.9576923076923077
8,1,IS,523,272,262,260,12,261,0.9540229885057472
8,1,OOS,327,78,66,66,12,261,0.9540229885057472
8,2,IS,522,270,261,258,12,261,0.9540229885057472
8,2,OOS,326,75,65,63,12,261,0.9540229885057472
8,3,IS,521,269,260,257,12,261,0.9540229885057472
8,3,OOS,325,75,65,64,11,260,0.9576923076923077
9,1,IS,523,272,262,260,12,261,0.9540229885057472
9,1,OOS,327,78,66,66,12,261,0.9540229885057472
9,2,IS,522,270,261,258,12,261,0.9540229885057472
9,2,OOS,326,75,65,63,12,261,0.9540229885057472
9,3,IS,521,269,260,257,12,261,0.9540229885057472
9,3,OOS,325,75,65,64,11,260,0.9576923076923077
10,1,IS,523,272,262,260,12,261,0.9540229885057472
10,1,OOS,327,78,66,66,12,261,0.9540229885057472
10,2,IS,522,270,261,258,12,261,0.9540229885057472
10,2,OOS,326,75,65,63,12,261,0.9540229885057472
10,3,IS,521,269,260,257,12,261,0.9540229885057472
10,3,OOS,325,75,65,64,11,260,0.9576923076923077
11,1,IS,523,272,262,260,12,261,0.9540229885057472
11,1,OOS,327,78,66,66,12,261,0.9540229885057472
11,2,IS,522,270,261,258,12,261,0.9540229885057472
11,2,OOS,326,75,65,63,12,261,0.9540229885057472
11,3,IS,521,269,260,257,12,261,0.9540229885057472
11,3,OOS,325,75,65,64,11,260,0.9576923076923077
12,1,IS,523,272,262,260,12,261,0.9540229885057472
12,1,OOS,327,78,66,66,12,261,0.9540229885057472
12,2,IS,522,270,261,258,12,261,0.9540229885057472
12,2,OOS,326,75,65,63,12,261,0.9540229885057472
12,3,IS,521,269,260,257,12,261,0.9540229885057472
12,3,OOS,325,75,65,64,11,260,0.9576923076923077
13,1,IS,523,267,262,259,8,261,0.9693486590038314
13,1,OOS,327,74,66,66,8,261,0.9693486590038314
13,2,IS,522,267,261,258,9,261,0.9655172413793104
13,2,OOS,326,69,65,63,6,261,0.9770114942528736
13,3,IS,521,262,260,257,5,261,0.9808429118773946
13,3,OOS,325,64,65,64,0,260,1.0
14,1,IS,523,267,262,259,8,261,0.9693486590038314
14,1,OOS,327,74,66,66,8,261,0.9693486590038314
14,2,IS,522,267,261,258,9,261,0.9655172413793104
14,2,OOS,326,69,65,63,6,261,0.9770114942528736
14,3,IS,521,262,260,257,5,261,0.9808429118773946
14,3,OOS,325,64,65,64,0,260,1.0
15,1,IS,523,267,262,259,8,261,0.9693486590038314
15,1,OOS,327,74,66,66,8,261,0.9693486590038314
15,2,IS,522,267,261,258,9,261,0.9655172413793104
15,2,OOS,326,69,65,63,6,261,0.9770114942528736
15,3,IS,521,262,260,257,5,261,0.9808429118773946
15,3,OOS,325,64,65,64,0,260,1.0
16,1,IS,523,267,262,259,8,261,0.9693486590038314
16,1,OOS,327,74,66,66,8,261,0.9693486590038314
16,2,IS,522,267,261,258,9,261,0.9655172413793104
16,2,OOS,326,69,65,63,6,261,0.9770114942528736
16,3,IS,521,262,260,257,5,261,0.9808429118773946
16,3,OOS,325,64,65,64,0,260,1.0
17,1,IS,523,267,262,259,8,261,0.9693486590038314
17,1,OOS,327,74,66,66,8,261,0.9693486590038314
17,2,IS,522,267,261,258,9,261,0.9655172413793104
17,2,OOS,326,69,65,63,6,261,0.9770114942528736
17,3,IS,521,262,260,257,5,261,0.9808429118773946
17,3,OOS,325,64,65,64,0,260,1.0
18,1,IS,523,267,262,259,8,261,0.9693486590038314
